,NumberOfInstances,NumberOfFeatures,NumberOfMissingValues,PercentageOfMissingValues,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfFeaturesWithMissingValues,PercentageOfFeaturesWithMissingValues,NumberOfNumericFeatures,NumberOfCategoricalFeatures,RatioNumericalToNominal,RatioNominalToNumerical,DatasetRatio,LogDatasetRatio,InverseDatasetRatio,LogInverseDatasetRatio,NumberOfBinaryFeatures,NumberOfClasses,NumberOfSymbolicFeatures,SkewnessMin,SkewnessMax,SkewnessMean,KurtosisMin,KurtosisMax,KurtosisMean
199,125.0,5.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,0.0,0.0,2.0,,,,,,
200,418.0,19.0,1239.0,15.600604381767816,142.0,33.97129186602871,,,11.0,,,,,,,,6.0,0.0,8.0,,,,,,
201,15000.0,49.0,0.0,0.0,0.0,0.0,,,49.0,,,,,,,,0.0,0.0,0.0,,,,,,
203,189.0,10.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,4.0,0.0,7.0,,,,,,
204,303.0,14.0,6.0,0.14144271570014144,6.0,1.9801980198019802,,,7.0,,,,,,,,3.0,0.0,7.0,,,,,,
205,62.0,8.0,12.0,2.4193548387096775,11.0,17.741935483870968,,,8.0,,,,,,,,0.0,0.0,0.0,,,,,,
206,186.0,61.0,0.0,0.0,0.0,0.0,,,61.0,,,,,,,,0.0,0.0,0.0,,,,,,
207,159.0,16.0,0.0,0.0,0.0,0.0,,,16.0,,,,,,,,0.0,0.0,0.0,,,,,,
208,13.0,14.0,0.0,0.0,0.0,0.0,,,14.0,,,,,,,,0.0,0.0,0.0,,,,,,
209,2178.0,4.0,0.0,0.0,0.0,0.0,,,4.0,,,,,,,,0.0,0.0,0.0,,,,,,
210,108.0,7.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,1.0,0.0,2.0,,,,,,
211,16.0,7.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,0.0,0.0,0.0,,,,,,
212,43.0,3.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,0.0,0.0,0.0,,,,,,
213,195.0,12.0,2.0,0.08547008547008547,2.0,1.0256410256410255,,,2.0,,,,,,,,3.0,0.0,10.0,,,,,,
214,96.0,5.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,0.0,0.0,0.0,,,,,,
215,40768.0,11.0,0.0,0.0,0.0,0.0,,,11.0,,,,,,,,0.0,0.0,0.0,,,,,,
216,16599.0,19.0,0.0,0.0,0.0,0.0,,,19.0,,,,,,,,0.0,0.0,0.0,,,,,,
217,74.0,28.0,0.0,0.0,0.0,0.0,,,28.0,,,,,,,,0.0,0.0,0.0,,,,,,
218,22784.0,9.0,0.0,0.0,0.0,0.0,,,9.0,,,,,,,,0.0,0.0,0.0,,,,,,
222,130.0,10.0,97.0,7.461538461538461,69.0,53.07692307692308,,,7.0,,,,,,,,3.0,0.0,3.0,,,,,,
223,950.0,10.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,0.0,0.0,0.0,,,,,,
224,286.0,10.0,9.0,0.3146853146853147,9.0,3.146853146853147,,,2.0,,,,,,,,4.0,0.0,8.0,,,,,,
225,8192.0,9.0,0.0,0.0,0.0,0.0,,,9.0,,,,,,,,0.0,0.0,0.0,,,,,,
226,27.0,5.0,0.0,0.0,0.0,0.0,,,5.0,,,,,,,,0.0,0.0,0.0,,,,,,
227,8192.0,13.0,0.0,0.0,0.0,0.0,,,13.0,,,,,,,,0.0,0.0,0.0,,,,,,
228,55.0,3.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,0.0,0.0,1.0,,,,,,
229,200.0,11.0,0.0,0.0,0.0,0.0,,,11.0,,,,,,,,0.0,0.0,0.0,,,,,,
230,209.0,7.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,0.0,0.0,0.0,,,,,,
231,294.0,14.0,782.0,18.999028182701654,293.0,99.65986394557824,,,7.0,,,,,,,,3.0,0.0,7.0,,,,,,
232,158.0,8.0,87.0,6.882911392405064,87.0,55.06329113924051,,,6.0,,,,,,,,1.0,0.0,2.0,,,,,,
244,1000000.0,39.0,0.0,0.0,0.0,0.0,,,6.0,,,,,,,,19.0,6.0,33.0,,,,,,
245,1000000.0,39.0,0.0,0.0,0.0,0.0,,,6.0,,,,,,,,4.0,6.0,33.0,,,,,,
246,1000000.0,17.0,0.0,0.0,0.0,0.0,,,8.0,,,,,,,,4.0,2.0,9.0,,,,,,
247,1000000.0,17.0,0.0,0.0,0.0,0.0,,,16.0,,,,,,,,0.0,26.0,1.0,,,,,,
248,1000000.0,26.0,0.0,0.0,0.0,0.0,,,15.0,,,,,,,,4.0,7.0,11.0,,,,,,
249,1000000.0,19.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,9.0,4.0,16.0,,,,,,
250,1000000.0,77.0,0.0,0.0,0.0,0.0,,,76.0,,,,,,,,0.0,10.0,1.0,,,,,,
251,39366.0,10.0,0.0,0.0,0.0,0.0,,,9.0,,,,,,,,1.0,2.0,1.0,,,,,,
252,1000000.0,65.0,0.0,0.0,0.0,0.0,,,64.0,,,,,,,,0.0,10.0,1.0,,,,,,
253,1000000.0,13.0,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,2.0,6.0,10.0,,,,,,
254,1000000.0,48.0,0.0,0.0,0.0,0.0,,,47.0,,,,,,,,0.0,10.0,1.0,,,,,,
255,55296.0,10.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,3.0,3.0,8.0,,,,,,
256,1000000.0,28.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,5.0,2.0,21.0,,,,,,
257,1000000.0,23.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,3.0,2.0,16.0,,,,,,
258,1000000.0,16.0,0.0,0.0,0.0,0.0,,,6.0,,,,,,,,5.0,2.0,10.0,,,,,,
259,295245.0,11.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,0.0,5.0,1.0,,,,,,
260,1000000.0,21.0,0.0,0.0,0.0,0.0,,,7.0,,,,,,,,3.0,2.0,14.0,,,,,,
261,1000000.0,17.0,0.0,0.0,0.0,0.0,,,16.0,,,,,,,,0.0,10.0,1.0,,,,,,
262,1000000.0,40.0,0.0,0.0,0.0,0.0,,,18.0,,,,,,,,4.0,2.0,22.0,,,,,,
263,1000000.0,35.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,1.0,6.0,34.0,,,,,,
264,1000000.0,61.0,0.0,0.0,0.0,0.0,,,60.0,,,,,,,,1.0,2.0,1.0,,,,,,
265,137781.0,10.0,0.0,0.0,0.0,0.0,,,9.0,,,,,,,,0.0,7.0,1.0,,,,,,
266,1000000.0,14.0,0.0,0.0,0.0,0.0,,,6.0,,,,,,,,3.0,5.0,8.0,,,,,,
267,1000000.0,14.0,0.0,0.0,0.0,0.0,,,13.0,,,,,,,,1.0,2.0,1.0,,,,,,
268,1000000.0,19.0,0.0,0.0,0.0,0.0,,,18.0,,,,,,,,0.0,4.0,1.0,,,,,,
269,1000000.0,20.0,0.0,0.0,0.0,0.0,,,6.0,,,,,,,,14.0,2.0,14.0,,,,,,
271,1000000.0,41.0,0.0,0.0,0.0,0.0,,,40.0,,,,,,,,0.0,3.0,1.0,,,,,,
272,1000000.0,18.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,15.0,7.0,17.0,,,,,,
273,120919.0,1002.0,0.0,0.0,0.0,0.0,,,1001.0,,,,,,,,1.0,2.0,1.0,,,,,,
274,399940.0,1002.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,1001.0,2.0,1001.0,,,,,,
275,71.0,63.0,0.0,0.0,0.0,0.0,,,62.0,,,,,,,,0.0,6.0,1.0,,,,,,
276,74.0,63.0,0.0,0.0,0.0,0.0,,,62.0,,,,,,,,0.0,4.0,1.0,,,,,,
277,74.0,63.0,0.0,0.0,0.0,0.0,,,62.0,,,,,,,,0.0,4.0,1.0,,,,,,
278,74.0,63.0,0.0,0.0,0.0,0.0,,,62.0,,,,,,,,0.0,4.0,1.0,,,,,,
279,45164.0,75.0,0.0,0.0,0.0,0.0,,,74.0,,,,,,,,0.0,11.0,1.0,,,,,,
285,194.0,30.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,13.0,8.0,28.0,,,,,,
287,6497.0,12.0,0.0,0.0,0.0,0.0,,,12.0,,,,,,,,0.0,0.0,0.0,,,,,,
293,581012.0,55.0,0.0,0.0,0.0,0.0,,,54.0,,,,,,,,1.0,2.0,1.0,,,,,,
294,6435.0,37.0,0.0,0.0,0.0,0.0,,,37.0,,,,,,,,0.0,0.0,0.0,,,,,,
296,13750.0,41.0,0.0,0.0,0.0,0.0,,,41.0,,,,,,,,0.0,0.0,0.0,,,,,,
298,9822.0,86.0,0.0,0.0,0.0,0.0,,,86.0,,,,,,,,0.0,0.0,0.0,,,,,,
299,360.0,91.0,0.0,0.0,0.0,0.0,,,91.0,,,,,,,,0.0,0.0,0.0,,,,,,
300,7797.0,618.0,0.0,0.0,0.0,0.0,,,617.0,,,,,,,,0.0,26.0,1.0,,,,,,
301,2536.0,73.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,0.0,0.0,72.0,,,,,,
307,990.0,13.0,0.0,0.0,0.0,0.0,,,10.0,,,,,,,,1.0,11.0,3.0,,,,,,
308,8192.0,33.0,0.0,0.0,0.0,0.0,,,33.0,,,,,,,,0.0,0.0,0.0,,,,,,
310,11183.0,7.0,0.0,0.0,0.0,0.0,,,6.0,,,,,,,,1.0,2.0,1.0,,,,,,
311,937.0,50.0,0.0,0.0,0.0,0.0,,,49.0,,,,,,,,1.0,2.0,1.0,,,,,,
312,2407.0,300.0,0.0,0.0,0.0,0.0,,,294.0,,,,,,,,6.0,2.0,6.0,,,,,,
313,531.0,103.0,0.0,0.0,0.0,0.0,,,100.0,,,,,,,,0.0,48.0,3.0,,,,,,
315,1994.0,128.0,39202.0,15.35935932798395,1871.0,93.83149448345036,,,127.0,,,,,,,,0.0,0.0,0.0,,,,,,
316,2417.0,117.0,0.0,0.0,0.0,0.0,,,103.0,,,,,,,,14.0,2.0,14.0,,,,,,
327,105.0,13.0,61.0,4.468864468864469,35.0,33.33333333333333,,,3.0,,,,,,,,2.0,6.0,10.0,,,,,,
328,105.0,13.0,61.0,4.468864468864469,35.0,33.33333333333333,,,0.0,,,,,,,,2.0,6.0,13.0,,,,,,
329,160.0,5.0,0.0,0.0,0.0,0.0,,,4.0,,,,,,,,0.0,3.0,1.0,,,,,,
333,556.0,7.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,3.0,2.0,7.0,,,,,,
334,601.0,7.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,3.0,2.0,7.0,,,,,,
335,554.0,7.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,3.0,2.0,7.0,,,,,,
336,267.0,23.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,23.0,2.0,23.0,,,,,,
337,349.0,45.0,0.0,0.0,0.0,0.0,,,44.0,,,,,,,,1.0,2.0,1.0,,,,,,
338,155.0,9.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,0.0,4.0,7.0,,,,,,
